Date,PC,PC_recal,Reff,Reff2,rien,rien,rien,rien,rien,Ei,Es,Ai,A,li,Ps,Ps_liss,P(tous),P(SPF)
26/05/2020,,,0.992973342447027,1.77316668294112,,,,,,558.445641394111,151301.355367672,120.408638257205,3605.3346868426,153.247357781897,145354.816109087,145300.769353243,148671.720262467,145555
27/05/2020,,,1.03397129186603,1.84637730690362,,,,,,487.939344065643,151789.294711737,129.322783314415,3734.65747015701,164.592633309255,145578.716702986,145534.668393266,149071.542751571,145746
28/05/2020,,,1.07897470950103,1.9267405526804,,,,,,382.143393533746,152171.438105271,116.86104007937,3851.51851023638,148.732232828289,145731.964060768,145725.277607589,149345.198747611,149071
29/05/2020,,,1.12818181818182,2.01461038961039,,,,,,271.733109067618,152443.171214339,188.508121416839,4040.02663165322,239.919427257795,145896.556694077,145903.273989545,149639.114164234,149668
30/05/2020,,,1.18179084073821,2.11034078703252,,,,,,303.900103025718,152747.071317364,180.300885802878,4220.3275174561,229.473854658208,146045.288926905,146087.124527966,149904.707437142,151496
31/05/2020,1.24,,1.24,2.21428571428571,,,,,,286.568424480968,153033.639741845,245.716082213414,4466.04359966952,312.729559180709,146285.208354163,146304.905981999,150333.134985817,151753
01/06/2020,1.26,,1.26,2.25,,,,,,483.344170822928,153516.983912668,214.693311388883,4680.7369110584,273.24603267676,146514.682208821,146549.177332639,150742.909726278,152091
02/06/2020,,,1.23424754990926,2.20401348198081,,,,,,484.268035042788,154001.251947711,168.143093154846,4848.88000421324,214.000300378895,146827.411768002,146811.100000782,151301.355367672,151325
03/06/2020,,,1.21074101633394,2.16203752916775,,,,,,692.472595328712,154693.72454304,119.562567989758,4968.442572203,152.170541077873,147100.657800679,147056.561607986,151789.294711737,151677
04/06/2020,,,1.18937229280097,2.12387909428744,,,,,,614.803573522709,155308.528116563,133.716045331317,5102.15861753432,170.184057694403,147314.658101058,147277.852904881,152171.438105271,152444
05/06/2020,,,1.17003327283727,2.08934513006655,,,,,,471.659547183028,155780.187663746,126.090106771626,5228.24872430594,160.478317709342,147466.828642136,147465.616043403,152443.171214339,153055
06/06/2020,,,1.15261584996975,2.0582425892317,,,,,,328.998420644124,156109.18608439,212.671435162092,5440.92015946804,270.672735660845,147637.01269983,147650.475249062,152747.071317364,153634
07/06/2020,,,1.13701191772535,2.03037842450955,,,,,,361.450362318152,156470.636446708,213.077935418831,5653.99809488687,271.190099623967,147797.491017539,147851.275601369,153033.639741845,153977
08/06/2020,,,1.12311336963097,2.00555958862674,,,,,,335.294591587285,156805.931038295,304.687941944627,5958.68603683149,387.784653384071,148068.1637532,148100.820859712,153516.983912668,154188
09/06/2020,,,1.11081209921355,1.98359303430991,,,,,,557.110152281004,157363.041190576,270.513572349995,6229.19960918149,344.290001172721,148339.353852824,148391.511517097,154001.251947711,154591
10/06/2020,1.1,,1.1,1.96428571428571,,,,,,550.618527217098,157913.659717793,207.53020076053,6436.72980994202,264.129346422493,148727.138506208,148710.596022818,154693.72454304,155136
11/06/2020,,,1.09056896551724,1.94744458128079,,,,,,777.72522991672,158691.38494771,144.759305083411,6581.48911502543,184.239115560704,149071.428507381,149013.721768138,155308.528116563,155561
12/06/2020,,,1.0824108892922,1.93287658802178,,,,,,682.931248108762,159374.316195819,159.03815941998,6740.52727444541,202.412202898157,149335.557853803,149286.757371599,155780.187663746,156287
13/06/2020,,,1.07541766485178,1.92038868723533,,,,,,518.825501901325,159893.14169772,147.529620298411,6888.05689474382,187.764971288887,149519.796969364,149515.378161251,156109.18608439,156813
14/06/2020,,,1.06948118572293,1.90978783164809,,,,,,358.795467258659,160251.937164979,245.128467003643,7133.18536174746,311.981685277363,149722.209172262,149735.226956647,156470.636446708,157220
15/06/2020,,,1.06449334543255,1.90088097398669,,,,,,391.237808111761,160643.17497309,242.272151975523,7375.45751372299,308.346375241575,149909.974143551,149969.470708882,156805.931038295,157372
16/06/2020,,,1.06034603750756,4.24138415003025,,,,,,360.581726722246,161003.756699813,583.293922437537,7958.75143616052,194.431307479179,150221.955828829,150221.609837557,157363.041190576,157716
17/06/2020,,,1.05693115547489,4.22772462189958,,,,,,595.818826239771,161599.575526052,512.198436081577,8470.9498722421,170.732812027192,150530.30220407,150469.439840834,157913.659717793,158174
18/06/2020,,,1.05414059286146,4.21656237144586,,,,,,586.129758094471,162185.705284147,389.119126425998,8860.0689986681,129.706375475333,150724.733511549,150690.749763207,158691.38494771,158641
19/06/2020,,,1.05186624319419,4.20746497277677,,,,,,824.657865811847,163010.363149959,269.096600443998,9129.1655991121,89.698866814666,150895.466323577,150865.85224757,159374.316195819,159452
20/06/2020,1.05,,1.05,4.2,,,,,,721.811313173513,163732.174463132,293.428356083823,9422.59395519592,97.809452027941,151025.172699052,151000.466680245,159893.14169772,160093
21/06/2020,,,1.04843375680581,4.19373502722323,,,,,,546.915022165915,164279.089485298,270.436295041683,9693.0302502376,90.1454316805612,151114.871565867,151112.116640043,160251.937164979,160377
22/06/2020,,,1.04705940713854,4.18823762855415,,,,,,377.404840220476,164656.494325519,446.86411967982,10139.8943699174,148.95470655994,151212.681017894,151218.408987734,160643.17497309,160750
23/06/2020,,,1.04576884452511,4.18307537810042,,,,,,410.799698517352,165067.294024036,439.59731857085,10579.4916884883,146.532439523617,151302.826449575,151330.790188817,161003.756699813,161267
24/06/2020,,,1.04445396249244,4.17781584996975,,,,,,378.046054382928,165445.340078419,618.493399358878,11197.9850878472,206.164466452959,151451.781156135,151467.490208589,161599.575526052,161348
25/06/2020,,,1.04300665456745,4.17202661826981,,,,,,623.857706964582,166069.197785384,541.358484880126,11739.3435727273,180.452828293375,151598.313595659,151624.11047981,162185.705284147,161348
